seed,seat,agent,opponent,money,opp_money,won,status,turns,wall_s,unit_turns,effective_rate,move_share,harvested_units,milk_harvested,wool_harvested,milk_revenue,wool_revenue,milk_floor,wool_floor,animal_count,fertilizer_collected,unsold_units,unsold_milk,unsold_wool,drought_deaths,animals_escaped,shed_overflow,latency_p99_ms,n_errors
15,1,P2,P0,46572.0,46503.0,1,DONE,719,40.359,4853,0.9468,0.5768,646,104,90,22373,5947,0,38,5,156,19,1,0,2,1,3,12.1299,0
16,0,P2,P0,60115.0,59591.0,1,DONE,719,42.327,4853,0.9481,0.5798,638,102,90,23898,18653,0,0,5,156,17,0,0,2,1,3,18.7587,0
16,1,P0,P2,59591.0,60115.0,0,DONE,719,42.327,4853,0.9468,0.577,640,102,90,23885,18635,0,0,5,155,10,0,0,2,1,3,19.367,0
16,0,P0,P2,60115.0,59591.0,1,DONE,719,40.693,4853,0.9481,0.5798,638,102,90,23898,18653,0,0,5,156,17,0,0,2,1,3,17.4844,0
16,1,P2,P0,59591.0,60115.0,0,DONE,719,40.693,4853,0.9468,0.577,640,102,90,23885,18635,0,0,5,155,10,0,0,2,1,3,13.5485,0
17,0,P2,P0,49392.0,49331.0,1,DONE,719,37.777,4853,0.9472,0.5778,640,102,90,14058,21135,0,0,5,155,10,0,0,2,1,3,16.8033,0
17,1,P0,P2,49331.0,49392.0,0,DONE,719,37.777,4853,0.9472,0.578,640,102,90,14058,21114,0,0,5,155,10,0,0,2,1,3,16.8882,0
17,0,P0,P2,49392.0,49331.0,1,DONE,719,39.471,4853,0.9472,0.5778,640,102,90,14058,21135,0,0,5,155,10,0,0,2,1,3,15.7092,0
17,1,P2,P0,49331.0,49392.0,0,DONE,719,39.471,4853,0.9472,0.578,640,102,90,14058,21114,0,0,5,155,10,0,0,2,1,3,15.0103,0
18,0,P2,P0,48076.0,50824.0,0,DONE,719,37.767,4853,0.9472,0.578,640,102,90,21756,8858,0,13,5,155,10,0,0,2,1,3,14.3842,0
18,1,P0,P2,50824.0,48076.0,1,DONE,719,37.767,4853,0.944,0.5761,641,104,94,22290,9881,0,8,4,159,34,0,0,2,2,0,12.0489,0
18,0,P0,P2,47915.0,50894.0,0,DONE,719,40.419,4853,0.9472,0.578,640,102,90,21756,8650,0,18,5,155,10,0,0,2,1,3,13.3272,0
18,1,P2,P0,50894.0,47915.0,1,DONE,719,40.419,4853,0.944,0.5761,641,104,94,22290,9705,0,13,4,159,34,0,0,2,2,0,14.0426,0
