seed,seat,agent,opponent,money,opp_money,won,status,turns,wall_s,unit_turns,effective_rate,move_share,harvested_units,fertilizer_collected,unsold_units,drought_deaths,animals_escaped,shed_overflow,latency_p99_ms,n_errors
13,0,B_cow_sheep,A_diversified,54095.0,34314.0,1,DONE,719,21.694,4853,0.947,0.5776,640,155,10,2,1,3,8.8997,0
13,1,A_diversified,B_cow_sheep,34314.0,54095.0,0,DONE,719,21.694,4025,0.9558,0.5799,540,124,25,1,4,4,8.197,0
13,0,B_cow_sheep,C_goose_wheat,52479.0,25066.0,1,DONE,719,19.266,4853,0.947,0.5776,640,155,10,2,1,3,4.7768,0
13,1,C_goose_wheat,B_cow_sheep,25066.0,52479.0,0,DONE,719,19.266,4853,0.9289,0.5724,741,109,4,2,0,0,4.1812,0
13,0,A_diversified,B_cow_sheep,41410.0,64412.0,0,DONE,719,21.353,4025,0.9481,0.5737,532,123,55,1,4,17,6.5701,0
13,1,B_cow_sheep,A_diversified,64412.0,41410.0,1,DONE,719,21.353,4853,0.9472,0.578,640,155,10,2,1,3,7.6324,0
13,0,C_goose_wheat,B_cow_sheep,25586.0,52726.0,0,DONE,719,18.337,4853,0.9322,0.5745,739,111,22,2,0,0,4.1432,0
13,1,B_cow_sheep,C_goose_wheat,52726.0,25586.0,1,DONE,719,18.337,4853,0.9472,0.578,640,155,10,2,1,3,4.0354,0
14,0,B_cow_sheep,B_cow_sheep,40651.0,40651.0,0,DONE,719,16.459,4853,0.9472,0.578,640,155,10,2,1,3,4.9673,0
14,1,B_cow_sheep,B_cow_sheep,40651.0,40651.0,0,DONE,719,16.459,4853,0.9472,0.578,640,155,10,2,1,3,3.1508,0
14,0,B_cow_sheep,A_diversified,54149.0,33793.0,1,DONE,719,19.993,4853,0.9472,0.578,640,155,10,2,1,3,8.6377,0
14,1,A_diversified,B_cow_sheep,33793.0,54149.0,0,DONE,719,19.993,4025,0.9446,0.5717,532,122,55,1,4,17,6.1604,0
14,0,B_cow_sheep,C_goose_wheat,52406.0,26325.0,1,DONE,719,19.15,4853,0.9472,0.578,640,155,10,2,1,3,4.8264,0
14,1,C_goose_wheat,B_cow_sheep,26325.0,52406.0,0,DONE,719,19.15,4853,0.9289,0.5724,741,109,4,2,0,0,4.2344,0
14,0,A_diversified,B_cow_sheep,33793.0,54149.0,0,DONE,719,22.396,4025,0.9446,0.5717,532,122,55,1,4,17,7.169,0
14,1,B_cow_sheep,A_diversified,54149.0,33793.0,1,DONE,719,22.396,4853,0.9472,0.578,640,155,10,2,1,3,5.8979,0
14,0,C_goose_wheat,B_cow_sheep,26325.0,52406.0,0,DONE,719,19.094,4853,0.9289,0.5724,741,109,4,2,0,0,6.5975,0
14,1,B_cow_sheep,C_goose_wheat,52406.0,26325.0,1,DONE,719,19.094,4853,0.9472,0.578,640,155,10,2,1,3,4.1016,0
15,0,B_cow_sheep,B_cow_sheep,45524.0,45524.0,0,DONE,719,16.429,4853,0.9472,0.578,640,155,10,2,1,3,4.2051,0
15,1,B_cow_sheep,B_cow_sheep,45524.0,45524.0,0,DONE,719,16.429,4853,0.9472,0.578,640,155,10,2,1,3,3.5279,0
15,0,B_cow_sheep,A_diversified,59584.0,39734.0,1,DONE,719,17.767,4853,0.9472,0.578,640,155,10,2,1,3,4.3381,0
15,1,A_diversified,B_cow_sheep,39734.0,59584.0,0,DONE,719,17.767,4025,0.9448,0.5722,532,122,55,1,4,17,4.008,0
15,0,B_cow_sheep,C_goose_wheat,58921.0,27159.0,1,DONE,719,18.892,4853,0.9472,0.578,640,155,10,2,1,3,7.1959,0
15,1,C_goose_wheat,B_cow_sheep,27159.0,58921.0,0,DONE,719,18.892,4853,0.9289,0.5724,741,109,4,2,0,0,3.4842,0
15,0,A_diversified,B_cow_sheep,39734.0,59584.0,0,DONE,719,18.368,4025,0.9448,0.5722,532,122,55,1,4,17,5.8921,0
15,1,B_cow_sheep,A_diversified,59584.0,39734.0,1,DONE,719,18.368,4853,0.9472,0.578,640,155,10,2,1,3,3.5677,0
15,0,C_goose_wheat,B_cow_sheep,27159.0,58921.0,0,DONE,719,18.613,4853,0.9289,0.5724,741,109,4,2,0,0,7.4601,0
15,1,B_cow_sheep,C_goose_wheat,58921.0,27159.0,1,DONE,719,18.613,4853,0.9472,0.578,640,155,10,2,1,3,4.4982,0
16,0,B_cow_sheep,B_cow_sheep,60115.0,59591.0,1,DONE,719,16.357,4853,0.9481,0.5798,638,156,17,2,1,3,4.4895,0
16,1,B_cow_sheep,B_cow_sheep,59591.0,60115.0,0,DONE,719,16.357,4853,0.9468,0.577,640,155,10,2,1,3,2.9934,0
16,0,B_cow_sheep,A_diversified,53636.0,31682.0,1,DONE,719,18.012,4853,0.9481,0.5798,638,156,17,2,1,3,4.757,0
