seed,seat,agent,opponent,money,opp_money,won,status,turns,wall_s,unit_turns,effective_rate,move_share,harvested_units,milk_harvested,wool_harvested,milk_revenue,wool_revenue,milk_floor,wool_floor,animal_count,fertilizer_collected,unsold_units,unsold_milk,unsold_wool,drought_deaths,animals_escaped,shed_overflow,latency_p99_ms,n_errors
14,1,P0,P1,40651.0,41142.0,0,DONE,719,23.636,4853,0.9472,0.578,640,102,90,17243,7702,0,20,5,155,10,0,0,2,1,3,8.2687,0
14,0,P0,P1,40651.0,41142.0,0,DONE,719,30.281,4853,0.9472,0.578,640,102,90,17243,7702,0,20,5,155,10,0,0,2,1,3,13.7592,0
14,1,P1,P0,41142.0,40651.0,1,DONE,719,30.281,4853,0.9464,0.5745,647,104,90,17376,7702,0,20,5,157,20,0,0,2,1,3,11.6641,0
15,0,P1,P0,46446.0,46600.0,0,DONE,719,30.286,4853,0.9464,0.5757,647,104,90,22374,6069,0,36,5,156,12,1,0,2,1,3,15.8372,0
15,1,P0,P1,46600.0,46446.0,1,DONE,719,30.286,4853,0.9468,0.5768,646,104,90,22373,6069,0,36,5,156,19,1,0,2,1,3,11.3125,0
15,0,P0,P1,46600.0,46446.0,1,DONE,719,29.054,4853,0.9468,0.5768,646,104,90,22373,6069,0,36,5,156,19,1,0,2,1,3,14.5619,0
15,1,P1,P0,46446.0,46600.0,0,DONE,719,29.054,4853,0.9464,0.5757,647,104,90,22374,6069,0,36,5,156,12,1,0,2,1,3,13.5372,0
16,0,P1,P0,60229.0,59593.0,1,DONE,719,32.152,4853,0.9456,0.5782,636,102,90,23898,18653,0,0,5,156,34,0,0,2,1,3,15.3566,0
16,1,P0,P1,59593.0,60229.0,0,DONE,719,32.152,4853,0.9468,0.577,640,102,90,23879,18635,0,0,5,155,10,0,0,2,1,3,14.0915,0
16,0,P0,P1,60119.0,60220.0,0,DONE,719,29.878,4853,0.9481,0.5798,638,102,90,23898,18653,0,0,5,156,17,0,0,2,1,3,16.9557,0
16,1,P1,P0,60220.0,60119.0,1,DONE,719,29.878,4853,0.9456,0.573,647,104,90,24179,18635,0,0,5,157,20,0,0,2,1,3,14.8114,0
17,0,P1,P0,49853.0,49329.0,1,DONE,719,29.704,4853,0.946,0.5739,647,104,90,14293,21135,0,0,5,157,20,0,0,2,1,3,13.9306,0
17,1,P0,P1,49329.0,49853.0,0,DONE,719,29.704,4853,0.9472,0.578,640,102,90,14058,21114,0,0,5,155,10,0,0,2,1,3,11.4353,0
17,0,P0,P1,49390.0,49792.0,0,DONE,719,35.153,4853,0.9472,0.5778,640,102,90,14058,21135,0,0,5,155,10,0,0,2,1,3,15.6738,0
17,1,P1,P0,49792.0,49390.0,1,DONE,719,35.153,4853,0.946,0.5741,647,104,90,14293,21114,0,0,5,157,20,0,0,2,1,3,15.9547,0
18,0,P1,P0,48706.0,50705.0,0,DONE,719,31.772,4853,0.9464,0.5745,647,104,90,21999,8981,0,7,5,157,20,0,0,2,1,3,18.2868,0
18,1,P0,P1,50705.0,48706.0,1,DONE,719,31.772,4853,0.944,0.5761,641,104,94,22290,9815,0,7,4,159,34,0,0,2,2,0,14.2325,0
18,0,P0,P1,48046.0,50920.0,0,DONE,719,31.653,4853,0.9472,0.578,640,102,90,21756,8981,0,7,5,155,10,0,0,2,1,3,17.5259,0
18,1,P1,P0,50920.0,48046.0,1,DONE,719,31.653,4853,0.9392,0.5712,644,104,94,22290,9815,0,7,4,160,12,0,0,2,2,0,13.125,0
19,0,P1,P0,42942.0,43085.0,0,DONE,719,34.704,4853,0.9464,0.5757,647,104,90,19313,6069,0,36,5,156,12,1,0,2,1,3,17.8706,0
19,1,P0,P1,43085.0,42942.0,1,DONE,719,34.704,4853,0.9468,0.5768,646,104,90,19313,6069,0,36,5,156,19,1,0,2,1,3,16.541,0
19,0,P0,P1,43085.0,42942.0,1,DONE,719,34.611,4853,0.9468,0.5768,646,104,90,19313,6069,0,36,5,156,19,1,0,2,1,3,15.1896,0
19,1,P1,P0,42942.0,43085.0,0,DONE,719,34.611,4853,0.9464,0.5757,647,104,90,19313,6069,0,36,5,156,12,1,0,2,1,3,16.4799,0
20,0,P1,P0,35900.0,35481.0,1,DONE,719,31.263,4853,0.9464,0.5745,647,104,90,13274,7702,0,20,5,157,20,0,0,2,1,3,15.5318,0
20,1,P0,P1,35481.0,35900.0,0,DONE,719,31.263,4853,0.9472,0.578,640,102,90,13039,7702,0,20,5,155,10,0,0,2,1,3,15.5849,0
20,0,P0,P1,35481.0,35900.0,0,DONE,719,33.521,4853,0.9472,0.578,640,102,90,13039,7702,0,20,5,155,10,0,0,2,1,3,15.5995,0
20,1,P1,P0,35900.0,35481.0,1,DONE,719,33.521,4853,0.9464,0.5745,647,104,90,13274,7702,0,20,5,157,20,0,0,2,1,3,16.7562,0
21,0,P1,P0,48680.0,48054.0,1,DONE,719,42.607,4853,0.946,0.5741,647,104,90,19129,12146,0,4,5,157,20,0,0,2,1,3,33.8845,0
21,1,P0,P1,48054.0,48680.0,0,DONE,719,42.607,4853,0.9472,0.578,640,102,90,18864,12146,0,4,5,155,10,0,0,2,1,3,27.2633,0
21,0,P0,P1,48054.0,48680.0,0,DONE,719,49.363,4853,0.9472,0.578,640,102,90,18864,12146,0,4,5,155,10,0,0,2,1,3,39.5643,0
21,1,P1,P0,48680.0,48054.0,1,DONE,719,49.363,4853,0.946,0.5741,647,104,90,19129,12146,0,4,5,157,20,0,0,2,1,3,26.1706,0
22,0,P1,P0,27170.0,26814.0,1,DONE,719,49.825,4853,0.9468,0.5809,636,104,94,7145,6028,0,40,5,157,29,2,0,2,1,0,41.1802,0
22,1,P0,P1,26814.0,27170.0,0,DONE,719,49.825,4853,0.9468,0.5768,646,104,90,7010,6055,0,38,5,156,19,1,0,2,1,3,23.3946,0
22,0,P0,P1,28687.0,28357.0,1,DONE,719,35.204,4853,0.9475,0.5792,641,103,90,6028,8961,2,7,4,157,16,0,0,3,2,0,20.5374,0
22,1,P1,P0,28357.0,28687.0,0,DONE,719,35.204,4853,0.9464,0.5745,647,104,90,5957,8996,2,7,5,157,20,0,0,2,1,3,17.413,0
23,0,P1,P0,42256.0,43792.0,0,DONE,719,31.872,4853,0.9427,0.5774,620,103,94,22121,5889,0,40,4,159,22,0,0,2,2,11,17.4845,0
23,1,P0,P1,43792.0,42256.0,1,DONE,719,31.872,4853,0.9468,0.5768,646,104,90,23158,6055,0,38,5,156,19,1,0,2,1,3,26.9793,0
23,0,P0,P1,43747.0,43962.0,0,DONE,719,34.443,4853,0.9419,0.5757,620,103,90,23349,5885,0,36,4,160,47,0,0,1,2,7,20.5508,0
23,1,P1,P0,43962.0,43747.0,1,DONE,719,34.443,4853,0.9464,0.5757,647,104,90,23621,6055,0,38,5,156,12,1,0,2,1,3,20.9787,0
24,0,P1,P0,35199.0,36597.0,0,DONE,719,44.298,4853,0.9431,0.5768,621,103,90,15355,5885,0,36,4,156,21,0,0,4,2,17,76.6723,0
24,1,P0,P1,36597.0,35199.0,1,DONE,719,44.298,4853,0.9468,0.5768,646,104,90,16151,6069,0,36,5,156,19,1,0,2,1,3,23.0179,0
24,0,P0,P1,35183.0,36565.0,0,DONE,719,33.807,4853,0.9458,0.5803,621,103,90,15372,5885,0,36,4,156,21,0,0,4,2,17,26.1146,0
24,1,P1,P0,36565.0,35183.0,1,DONE,719,33.807,4853,0.9464,0.5757,647,104,90,16191,6069,0,36,5,156,12,1,0,2,1,3,19.6754,0
25,0,P1,P0,49840.0,49517.0,1,DONE,719,40.777,4853,0.946,0.5741,647,104,90,13590,21857,0,0,5,157,20,0,0,2,1,3,21.1104,0
25,1,P0,P1,49517.0,49840.0,0,DONE,719,40.777,4853,0.9472,0.578,640,102,90,13495,21857,0,0,5,155,10,0,0,2,1,3,33.349,0
25,0,P0,P1,49517.0,49840.0,0,DONE,719,36.287,4853,0.9472,0.578,640,102,90,13495,21857,0,0,5,155,10,0,0,2,1,3,33.7018,0
25,1,P1,P0,49840.0,49517.0,1,DONE,719,36.287,4853,0.946,0.5741,647,104,90,13590,21857,0,0,5,157,20,0,0,2,1,3,13.4786,0
26,0,P1,P0,56791.0,56192.0,1,DONE,719,37.829,4853,0.946,0.5741,647,104,90,26594,14484,0,0,5,157,20,0,0,2,1,3,25.7818,0
26,1,P0,P1,56192.0,56791.0,0,DONE,719,37.829,4853,0.9472,0.578,640,102,90,26277,14484,0,0,5,155,10,0,0,2,1,3,19.9839,0
